FirstName,LastName,SamAccountName,UserPrincipalName,Password,OU,Department,Title,Company,Office,Description
Peyman,Karimi,pkarimi,pkarimi@TKP.local,123qwe@,TKP,IT,Specialist,MyCompany,Karaj,Peyman Karimi - TKP
Nima,Rezaei,nrezaei,nrezaei@TKP.local,123qwe@,Lavin,Sales,Senior Staff,MyCompany,Shiraz,Nima Rezaei - Lavin
Ehsan,Hosseini,ehosseini,ehosseini@TKP.local,123qwe@,Amins,IT,Senior Staff,MyCompany,Karaj,Ehsan Hosseini - Amins
Nima,Nasiri,nnasiri,nnasiri@TKP.local,123qwe@,Employees,Admin,Staff,MyCompany,Shiraz,Nima Nasiri - Employees
Kamran,Ansari,kansari,kansari@TKP.local,123qwe@,Group,Legal,Analyst,MyCompany,Karaj,Kamran Ansari - Group
Omid,Tabatabaei,otabatabaei,otabatabaei@TKP.local,123qwe@,TKP,Support,Staff,MyCompany,Karaj,Omid Tabatabaei - TKP
Siavash,Rahimi,srahimi,srahimi@TKP.local,123qwe@,Lavin,Marketing,Specialist,MyCompany,Karaj,Siavash Rahimi - Lavin
Farhad,Naderi,fnaderi,fnaderi@TKP.local,123qwe@,Amins,Marketing,Senior Staff,MyCompany,Tehran,Farhad Naderi - Amins
Nazanin,Karimi,nkarimi,nkarimi@TKP.local,123qwe@,Employees,Marketing,Coordinator,MyCompany,Shiraz,Nazanin Karimi - Employees
Arash,Yousefi,ayousefi,ayousefi@TKP.local,123qwe@,Group,IT,Officer,MyCompany,Shiraz,Arash Yousefi - Group
Maryam,Khosravi,mkhosravi,mkhosravi@TKP.local,123qwe@,TKP,Operations,Senior Staff,MyCompany,Shiraz,Maryam Khosravi - TKP
Saeed,Mousavi,smousavi,smousavi@TKP.local,123qwe@,Lavin,Admin,Coordinator,MyCompany,Shiraz,Saeed Mousavi - Lavin
Kamran,Ansari,kansari2,kansari2@TKP.local,123qwe@,Amins,Sales,Staff,MyCompany,Karaj,Kamran Ansari - Amins
Navid,Kazemi,nkazemi,nkazemi@TKP.local,123qwe@,Employees,Sales,Team Lead,MyCompany,Tehran,Navid Kazemi - Employees
Nazanin,Rostami,nrostami,nrostami@TKP.local,123qwe@,Group,Engineering,Coordinator,MyCompany,Karaj,Nazanin Rostami - Group
Parisa,Ghasemi,pghasemi,pghasemi@TKP.local,123qwe@,TKP,Finance,Specialist,MyCompany,Tehran,Parisa Ghasemi - TKP
Mahsa,Hashemi,mhashemi,mhashemi@TKP.local,123qwe@,Lavin,HR,Team Lead,MyCompany,Karaj,Mahsa Hashemi - Lavin
Payam,Norouzi,pnorouzi,pnorouzi@TKP.local,123qwe@,Amins,Support,Team Lead,MyCompany,Mashhad,Payam Norouzi - Amins
Navid,Naderi,nnaderi,nnaderi@TKP.local,123qwe@,Employees,IT,Team Lead,MyCompany,Tehran,Navid Naderi - Employees
Neda,Norouzi,nnorouzi,nnorouzi@TKP.local,123qwe@,Group,Support,Senior Staff,MyCompany,Karaj,Neda Norouzi - Group
Niloofar,Sharifi,nsharifi,nsharifi@TKP.local,123qwe@,TKP,Marketing,Team Lead,MyCompany,Isfahan,Niloofar Sharifi - TKP
Hamid,Sharifi,hsharifi,hsharifi@TKP.local,123qwe@,Lavin,Engineering,Manager,MyCompany,Mashhad,Hamid Sharifi - Lavin
Fatemeh,Sadeghi,fsadeghi,fsadeghi@TKP.local,123qwe@,Amins,Legal,Specialist,MyCompany,Shiraz,Fatemeh Sadeghi - Amins
